instance,group,p,run,seed,grasp_cost,vnd_cost,ils_cost,ils_iterations,ils_improvements,time_total_s
ali535_025.txt,ali535,25,1,42,9776.7333,4322.7679,4178.3008,232,61,0.5219
ali535_025.txt,ali535,25,2,43,7497.5463,4039.9674,3862.3465,21876,7097,41.7471
ali535_025.txt,ali535,25,3,44,9422.6029,4782.2325,4019.8407,8033,2660,16.0982
