instance,group,n,p,seed,grasp_cost,vnd_cost,final_cost,ils_iterations,ils_improvements,ils_stop_reason,cs_po_triggers,cs_po_improvements,cs_po_total_gain,cs_ils_promotions,time_grasp_s,time_vnd_s,time_ils_s,time_total_s,status
rl1304_200.txt,rl1304,,200,45,350348.2455,311287.3298,280750.9821,290,30,iter_limit,36,15,18857.0117,15,0.4453,5.8823,1510.4154,1516.7430,OK
rl1304_300.txt,rl1304,,300,45,253841.1868,215751.0175,193221.1585,172,28,iter_limit,21,11,8193.8872,10,0.8049,14.4129,880.5011,895.7190,OK
u724_010.txt,u724,,10,45,184948.3298,184948.3298,181798.8345,151,9,iter_limit,13,5,1232.4582,3,0.0363,0.0129,25.8048,25.8540,OK
u724_030.txt,u724,,30,45,102643.8843,101931.9958,95839.3841,69,4,iter_limit,5,1,1602.1544,1,0.0543,0.1044,9.7772,9.9359,OK
u724_075.txt,u724,,75,45,64903.8024,62143.9021,55176.2098,140,13,iter_limit,17,5,2728.8263,5,0.0745,0.4418,103.8774,104.3938,OK
u724_125.txt,u724,,125,45,44882.0619,42347.1030,39407.9709,132,16,iter_limit,16,7,1943.3911,7,0.0997,0.8806,157.1949,158.1753,OK
u724_200.txt,u724,,200,45,37914.5247,30301.7009,28375.2345,148,18,iter_limit,18,8,1292.6204,7,0.1705,5.1930,514.1226,519.4862,OK
ali535_005.txt,ali535,,5,46,9956.7698,9956.7698,9956.7698,60,0,iter_limit,4,0,0.0000,0,0.0172,0.0070,5.6754,5.6997,OK
ali535_025.txt,ali535,,25,46,4161.3896,4048.3481,3731.1054,150,15,iter_limit,15,5,34.1808,5,0.0250,0.0162,107.2181,107.2594,OK
ali535_050.txt,ali535,,50,46,2815.0416,2728.1181,2475.1875,182,19,iter_limit,21,8,53.8334,5,0.0313,0.1124,61.5852,61.7289,OK
ali535_100.txt,ali535,,100,46,1877.3661,1637.5073,1474.7009,89,14,iter_limit,11,3,70.1409,3,0.0406,0.5628,115.3635,115.9669,OK
ali535_150.txt,ali535,,150,46,1452.0277,1211.2387,1044.8643,310,32,iter_limit,38,14,98.8048,7,0.0653,1.5540,1339.4871,1341.1064,OK
fnl4461_0020.txt,fnl4461,,20,46,1313021.9681,1313021.9681,1284396.9747,141,16,iter_limit,15,6,4939.2019,6,3.7862,0.6918,525.6461,530.1241,OK
fnl4461_0100.txt,fnl4461,,100,46,575685.3814,574657.8037,558002.1406,148,18,iter_limit,18,8,7993.5450,8,4.8836,3.2615,1354.5723,1362.7175,OK
fnl4461_0250.txt,fnl4461,,250,46,364794.9360,359956.5878,345647.5712,108,16,iter_limit,13,6,10360.9660,6,6.4200,28.2792,1172.6478,1207.3471,OK
fnl4461_0500.txt,fnl4461,,500,46,255911.2246,247513.6656,231967.9517,196,25,iter_limit,24,12,12985.7406,10,11.7345,105.6599,3097.9116,3215.3061,OK
fnl4461_1000.txt,fnl4461,,1000,46,174511.4802,160447.5443,149470.9640,168,73,time_limit,21,18,6066.4179,17,24.4697,608.4422,3615.8430,4248.7549,OK
